,Unnamed: 0,tablescraper-selected-row href,New Club Name,New Description
194,205,https://now.calpoly.edu/organization/eng-student-council, engineering student council, engineering student council serf bridge communication gap engineering student college engineering university provide cohesion cooperation diverse student organization within ceng
195,206,https://now.calpoly.edu/organization/globalengineeringawareness, engineers for global cultural awareness, engineer global awareness space engineer learn different engineering practice worldwide
196,207,https://now.calpoly.edu/organization/esc, environmental sciences club, esc serf introduce student interested environmental science potential career path community service organization recreational activity related environmental science natural resource
197,208,https://now.calpoly.edu/organization/epicmovement, epic movement, epic asian american christian movement focus bring love jesus christ student seek become apart god 's redemptive mission share gospel world-wide
198,209,https://now.calpoly.edu/organization/alphaphi, epsilon chi chapter of alpha phi international fraternity incorporated," alpha phi sisterhood outstanding woman support one another lifelong achievement sisterhood alpha phi stretch coast coast collegiate campus 200,000 member"
199,210,https://now.calpoly.edu/organization/axo, epsilon omega chapter of alpha chi omega, alpha chi omega found provide basis mutual helpfulness congenial fellowship purpose alpha chi omega provide advancement intellectual social moral culture member
200,211,https://now.calpoly.edu/organization/esports, esports council, organization official voice many different esports game exist campus order promote champion need interest activity student engage game community
201,212,https://now.calpoly.edu/organization/hkn, eta kappa nu, electrical computer engineering honor society
202,213,https://now.calpoly.edu/organization/phisigslo, eta septaton chapter phi sigma kappa, eta septaton chapter phi sigma kappa group brother promotes three pillar brotherhood scholarship character life
203,214,https://now.calpoly.edu/organization/sigma-pi, eta-delta chapter of sigma pi fraternity, eta delta chapter sigma pi fraternity international
204,216,https://now.calpoly.edu/organization/fast," fashion , innovation , trendsetting , and styling club", community student interested realm fashion learn skill garment construction style design model fashion photography integrate value sustainable fashion formerly know fast
205,217,https://now.calpoly.edu/organization/fma, financial management association, fma introduces member limitless number career opportunity finance
206,218,https://now.calpoly.edu/organization/food-science, food science club, food science provide opportunity food science student learn possible opportunity achievement food industry
207,219,https://now.calpoly.edu/organization/flc, french language club, french language group dedicate speak practice speak french skill level welcome social event like french-themed soirées mainly practice conversational french
208,220,https://now.calpoly.edu/organization/fnl, friday night live, friday night live campus creates fun free event promote social emotional physical well-being introduce member field behavioral health
209,221,https://now.calpoly.edu/organization/furries, furries at cal poly, join inclusive passionate community furries campus ! organize art workshop furmeets convention info session outreach everything anthro
210,222,https://now.calpoly.edu/organization/fmec, future math educators club, primary goal increase communication foster social connection creation upkeep community among student faculty staff interested study teach mathematics
211,223,https://now.calpoly.edu/organization/slogammaphibeta," gamma phi beta , delta theta chapter", panhellenic sorority
212,224,https://now.calpoly.edu/organization/geccommunity, gender equity center ( gec ), found student gender equity center empowers feminine transgender womxn-of-center gender-expansive student supporter expansive inclusive program register quarter ’ event profile
213,225,https://now.calpoly.edu/organization/cpgig, gender-inclusive gaming, gender-inclusive game social safe space support minority interested game variation leisure activity !
214,226,https://now.calpoly.edu/organization/calpolygg, genetics and genomics club, resource group student interested learn genetic counsel field genetics facilitate discussion host guest practice skill help grow individual future professional
215,227,https://now.calpoly.edu/organization/genkey, genkey sound collective, genkey collective non-audition band focus japanese rock pop r & b funk jazz band aim amplify japanese culture music on-campus !
216,228,https://now.calpoly.edu/organization/gdsc, google developer student clubs, google developer student ( gdsc ) university-based community group student interested google technology program gdscs country around world include undergraduate graduate student
217,229,https://now.calpoly.edu/organization/gsa, graduate student association, official representative body graduate student
218,230,https://now.calpoly.edu/organization/guac, graduate unified arce club, graduate student pursue career structural engineering goal foster community diverse student primarily undergraduate institution would help foster professional social skill
219,231,https://now.calpoly.edu/organization/growcrew, growcrew, promote practice awareness access sustainable innovative idea control environment agriculture
220,232,https://now.calpoly.edu/organization/guardianscholars, guardian scholars, guardian scholar office dean student
221,233,https://now.calpoly.edu/organization/hack4impact, hack4impact, student-run ( c ) ( ) organization empowers engineer designer activist humanitarian create last social change develop project local nonprofit foster wider adoption software tool social good
222,234,https://now.calpoly.edu/organization/hercampuscalpoly, her campus at cal poly, online magazine cater collegiate woman open join magazine great way get real experience editorial medium journalism marketing event planning industry
223,235,https://now.calpoly.edu/organization/cphiking, hiking and backpacking club, focus unite student diverse background common love outdoors weekly hike quarterly backpacking trip
224,236,https://now.calpoly.edu/organization/hillel, hillel of san luis obispo, san luis obispo hillel center-point jewish life san luis obispo community provide welcome supportive environment student proud engage judaism
225,237,https://now.calpoly.edu/organization/hindu-yuva, hindu yuva, hindu yuva ( youth unity virtue action ) hold meeting conduct event yoga discussion game celebrate festival volunteer community guest lecture hinduism much everyone welcome join !
226,238,https://now.calpoly.edu/organization/horticulture, horticulture club, purpose organization allow student interested horticulture socialize learn plant grow plant hands-on set network industry
227,239,https://now.calpoly.edu/organization/cphuiohawaii, hui o hawai ' i, hui ‘ hawai ' provide home away home student hawai ' community interested culture hawai ' seek spread aloha cultural social event
228,240,https://now.calpoly.edu/organization/hrma, human resource management club, human resource & management association open major focus professional development want offer student place grow learn business human resource management
229,241,https://now.calpoly.edu/organization/hummus, hummus club, anyone love hummus want see enjoy even fellow hummus friend campus kick back dip chip good time hummus
230,242,https://now.calpoly.edu/organization/igniteconsulting, ignite consulting junior enterprise, junior enterprise aim provide student high education unique learn experience manage work consult firms/businesses
231,243,https://now.calpoly.edu/organization/iye, imagen y espiritu ballet folklorico de cal poly, imagen espiritu ballet folklorico de student-led dance participate showcasing mexican regional dance various local community event
232,244,https://now.calpoly.edu/organization/indian-students-assoc, indian students association, isa cultural open south asian student aim provide diverse inclusive environment member
233,245,https://now.calpoly.edu/organization/idsacalpoly, industrial designers society of america at cal poly, student chapter industrial designer society america mission create space student gain design experience build professional network build technical skill
234,246,https://now.calpoly.edu/organization/its-society, industrial technology society, provide operation focus itp student networking opportunity industry professional
235,247,https://now.calpoly.edu/organization/isa, information systems association, information system association ( isa ) professional networking ocob help connect company student job internship opportunity
236,248,https://now.calpoly.edu/organization/iise, institute of industrial and systems engineers, ii dedicate professional development education involvement member event include info session top industry representative social career fair workshop welcome everyone interested !
237,249,https://now.calpoly.edu/organization/ite, institute of transportation engineers ( ite ), ite organization dedicate connect educate transportation professional
238,250,https://now.calpoly.edu/organization/isf, international student friendship, isf 's goal build last friendship among international student scholar american friend care foster unique interest : physical social emotional spiritual
239,251,https://now.calpoly.edu/organization/ivslo, intervarsity christian fellowship san luis obispo, intervarsity community christ-followers invite student faculty every cultural spiritual ethnic background curious jesus experience god ’ love family
240,252,https://now.calpoly.edu/organization/iranian-student-cultural-organization, iranian student cultural organization, isco non-political non-religious student organization whose main objective host iranian social activity & event promote understand culture create safe environment foster friendship
241,253,https://now.calpoly.edu/organization/italian-cultural-association, italian cultural association, italian cultural association provide space student italian heritage simply interested italian culture come together build community ica host regular meeting well event throughout year !
242,254,https://now.calpoly.edu/organization/iter8, iter8 at cal poly, 's first product design agency student gain hands-on product design experience create positive space student collaborate team design user experience solution startup develop portfolio
243,255,https://now.calpoly.edu/organization/jsa, japanese student association, japanese student association ( jsa ) social cultural dedicate share celebrate japanese culture
244,256,https://now.calpoly.edu/organization/joc, journalists of color @ cal poly, safe space journalist color embrace encourage diversity one ’ culture field journalism learn approach story contains diverse topic approach diversity holistically respectfully
245,257,https://now.calpoly.edu/organization/kappa-alpha-theta," kappa alpha theta , zeta theta", theta teach u importance aspire something high envelops u sisterhood loyal love
246,258,https://now.calpoly.edu/organization/kkg, kappa kappa gamma, panhellenic chapter fall fraternity & sorority life kappa kappa gamma offer member experience range friendship mentor leadership service campus activity lifetime community involvement
247,259,https://now.calpoly.edu/organization/kkpsi, kappa kappa psi - iota pi, kappa kappa psi operates primarily student service leadership recognition society whose chief aim assist director band develop leadership enthusiasm require band
248,260,https://now.calpoly.edu/organization/pikapp," kappa pi associate chapter of pi kappa phi fraternity , located at cal poly"," pi kappa phi national men 's fraternity found leadership college charleston 120,000 strong & campus"
249,261,https://now.calpoly.edu/organization/camp-kesem-at-cal-poly-slo, kesem at cal poly, kesem national nonprofit organization dedicate support child beyond parent 's cancer host week-long summer camp foster year-round community
250,262,https://now.calpoly.edu/organization/kajakrew, kaja krew, dance specialize k-pop level experience welcome inclusive community consistently performs record cover
251,263,https://now.calpoly.edu/organization/lambda-chi, lambda chi alpha - phi sigma zeta, on-campus fraternity
252,264,https://now.calpoly.edu/organization/lph, lambda pi eta, lambda pi eta communication study honor society
253,265,https://now.calpoly.edu/organization/lsg, lambda sigma gamma, lambda sigma gamma multicultural sorority strives diversity member organization focus five pillar : professionalism academic philanthropy sisterhood & multiculturalism
254,266,https://now.calpoly.edu/organization/lambda_theta_phi_latin_fraternity_inc," lambda theta phi latin fraternity , inc .", lambda theta phi latin fraternity inc found kean college union new jersey december strive academic success uphold core value unity respect brotherhood culture pride
255,267,https://now.calpoly.edu/organization/lacasacommunity, latine/x center for academic success and student achievement ( lacasa ), nurture latine/x community intersect experience transform program cultural celebration educational opportunity event center comunidad register quarter ’ event profile
256,268,https://now.calpoly.edu/organization/lia, latinos in agriculture, latino agriculture ( lia ) professional cultural organization dedicate provide home away home underrepresented student college agriculture food environmental science ( cafe )
257,269,https://now.calpoly.edu/organization/lbsa, latinx business student association, latinx business student association
258,270,https://now.calpoly.edu/organization/lca, latinx cultural association, lca strives create fun social environment learn share experience latinx culture practice aspire promote welcome community open everyone give opportunity appreciate various heritage latinx community
259,272,https://now.calpoly.edu/organization/lettersoflove, letters of love, student come together opportunity make letter encouragement child family local hospital
260,273,https://now.calpoly.edu/organization/laesclub, liberal arts and engineering studies, liberal art engineering study
261,274,https://now.calpoly.edu/organization/lifeskills, life skills program, life skill program office dean student empowers student build essential life skill thrive academically personally professionally
262,275,https://now.calpoly.edu/organization/loslecheros, los lecheros dairy club, los lecheros dairy form passionate share common interest field dairy science
263,276,https://now.calpoly.edu/organization/msci, marine sciences, marine science work unite student across discipline passion marine science aim build community offer member connection opportunity fun !
264,277,https://now.calpoly.edu/organization/mpp, mat pica pi, mat pica pi graphic communication 's social professional development aim connect generation grc well connect student professional career opportunity
265,278,https://now.calpoly.edu/organization/mathclub, math club, purpose math provide safe inclusive area people passion math make connection goal bring people together event throughout year well offer great opportunity get involve
266,279,https://now.calpoly.edu/organization/mbastudentassociation, mba student association, purpose organization create opportunity mba student educational professional development resource student connect professional within business world
267,280,https://now.calpoly.edu/organization/mcaa, mechanical contractors association of america, mcaa competes several mechanical competition fundraises industry travel conference team simulates proposal mechanical plumbing contractor provide unique informative understand specialty contract
268,281,https://now.calpoly.edu/organization/menmasculinitiescommunity, men and masculinities program ( mnm ), collaborate develop healthy masculinity create educational event space men color marginalize masculine identity discus gender identity expression intersection register quarter ’ event profile
269,282,https://now.calpoly.edu/organization/club-basketball, men 's club basketball, basketball intermediate level competition d1 intramural league allows player continue love game competitive nature continue past high school
270,283,https://now.calpoly.edu/organization/menshealthandwellbeingclub, men 's health & wellbeing club, men ’ health & wellbeing aim educate support unite young college men seek improve life holistic way provide resource tool community promote healthy physical mental social lifestyle
271,284,https://now.calpoly.edu/organization/mens-club-soccer, men 's soccer club, men 's soccer grown one top college soccer program nation fielding full squad regularly compete best team state well country leage regional national match
272,285,https://now.calpoly.edu/organization/cpmvb, men 's volleyball, competitive men 's volleyball program play match tournament northern california collegiate volleyball league field team play national championship put national collegiate volleyball federation
273,286,https://now.calpoly.edu/organization/cpmwp, men 's water polo club, men 's water polo completes within collegiate water polo association school around nation qualify team competes cwpa national championship end season
274,287,https://now.calpoly.edu/organization/mcm, mercy college movement, mcm local church call mercy church provide service campus sunday night organizes meeting proclaim name jesus 's campus !
275,288,https://now.calpoly.edu/organization/mess, mess, material engineering student society host event mate student offer opportunity collaborate study socialize gain information career option research
276,289,https://now.calpoly.edu/organization/msc, military science club, msc social group cp student rotc cadet come together friendly gathering compete entertain game participate volunteer event many opportunity relax fun !
277,290,https://now.calpoly.edu/organization/minnanoanime, minna no anime, minna anime group form promote discus appreciate japanese animation
278,291,https://now.calpoly.edu/organization/calpolymip, minorities in physics, provide space underrepresented identity physic connect one another talk common issues/struggles ultimately create supportive positive community
279,292,https://now.calpoly.edu/organization/mexa, movimiento estudiantil xicano de aztlan ( mexa ), social politically conscious aim empower latinx student
280,293,https://now.calpoly.edu/organization/multiculturalcentercommunity, multicultural center ( mcc ), original cultural center center continue evolve serf community facilitate program event resource ensure student develop sense belonging register quarter ’ event profile
281,294,https://now.calpoly.edu/organization/cpmusicappreciation, music appreciation club, get together weekly listen share music genre style form appreciate ! email u cpmusicappreciation @ gmail.com information
282,295,https://now.calpoly.edu/organization/mpu, music production union, promotes music musician creativity ! workshop showcase jam session social gathering concert !
283,296,https://now.calpoly.edu/organization/msa, muslim students association, msa space student gather learn grow muslim faith provide resource support muslim student campus
284,297,https://now.calpoly.edu/organization/mustangaviationclub, mustang aviation, mustang aviation advance science aeronautics develop aviation educate pilot every way towards safe operation
285,298,https://now.calpoly.edu/organization/mband, mustang band club, mustang band large group brass woodwind percussion color guard performer provide entertainment athletic event
286,299,https://now.calpoly.edu/organization/cpmustangconsulting, mustang consulting at cal poly, purpose mustang consult provide pro bono consult service various organization community group entity need provide professional development opportunity member
287,300,https://now.calpoly.edu/organization/mustangsurfclub, mustang surf club, mustang surf interest-based social group look foster community surfer social event open surf skill level wish cultivate surf lifestyle fellow mustang
288,301,https://now.calpoly.edu/organization/recovery, mustangs for recovery, mustang recovery exists offer safe sober-friendly environment student recovery seek recovery affected addiction friend family member
289,302,https://now.calpoly.edu/organization/mufi, mustangs united for israel, mustang united israel ( mufi ) pro-israel pro-peace coalition mission promote open bipartisan dialogue advocate jewish democratic state israel
290,303,https://now.calpoly.edu/organization/namla, national association of minority landscape architects, namla ’ purpose increase minority representation level landscape architecture practice academia
291,304,https://now.calpoly.edu/organization/neca, national electrical contractors association, national electrical contractor association student chapter
292,305,https://now.calpoly.edu/organization/nmdp-calpoly, national marrow donor program, nmdp℠ believe u hold key cure blood cancer disorder global nonprofit leader cell therapy nmdp creates essential connection researcher supporter inspire action
293,306,https://now.calpoly.edu/organization/nsbe, national society of black engineers, nsbe 's mission increase number culturally responsible black engineer excel academically succeed professionally positively impact community
294,307,https://now.calpoly.edu/organization/naicccommunity, native american and indigenous cultural center ( naicc ), aim create pan-indigenous space recognize vast diversity within indigenous community provide nurture environment educational program place empower growth register quarter ’ event profile
295,308,https://now.calpoly.edu/organization/net-impact, net impact, net impact community dedicate empower student opportunity learn engage power sustainable business agent change
296,309,https://now.calpoly.edu/organization/orientation, new student & transition programs, orientation tradition help welcome new mustang campus connect student parent supporter community member build life-long relationship year
297,310,https://now.calpoly.edu/organization/ncc, newman catholic club, serve student host weekly quarterly event
298,311,https://now.calpoly.edu/organization/cpslonsu, nikkei student union, nsu inclusive japanese/japanese american cultural social aim promote awareness japanese japanese american culture engage member community
299,312,https://now.calpoly.edu/organization/nice, nuclear is clean energy, aim educate member student member community reactor waste tech event public outreach talk engage member public use nuclear power energy infrastructure
300,313,https://now.calpoly.edu/organization/nutrition, nutrition club, nutrition place foodie interest health nutrition meet make connection learn job opportunity food nutrition-related field
301,314,https://now.calpoly.edu/organization/chi-omega, omicron mu chapter of the chi omega fraternity, inclusive genuine supportive sisterhood celebrates individuality advocate positive change
302,315,https://now.calpoly.edu/organization/cponehealthclub, one health club, one health integrative approach solve complex global health issue connect people animal share environment
303,316,https://now.calpoly.edu/organization/order-omega, order of omega, order omega international honor society initiate top % greek scholar leader college campus across u.s canada
304,317,https://now.calpoly.edu/organization/ocf, orthodox christian fellowship, orthodox christian fellowship ( ocf ) official collegiate campus ministry program assembly canonical orthodox bishop united state america
305,318,https://now.calpoly.edu/organization/ostem," out in science , technology , engineering , and mathematics ( ostem )", ostem provide space lgbtq+ person pursue stem degree connect thrive outreach event professional development community building among individual passionate intersection queer experience stem
306,319,https://now.calpoly.edu/organization/pfp, parent and family programs, parent family program provide support resource excite program proud parent family member supporter student
307,320,https://now.calpoly.edu/organization/penguins, penguins motorcycle club, motorcycle rid dirt street
308,321,https://now.calpoly.edu/organization/pat, phi alpha theta at cal poly, phi alpha theta professional society student interested history promote interest history connect student faculty together academic social event
309,322,https://now.calpoly.edu/organization/phideltcalpoly, phi delta theta fraternity - california nu chapter, phi delta theta pinnacle fraternal professional society center potential brother unquenchable thirst personal development lifelong value friendship sound learn rectitude
310,323,https://now.calpoly.edu/organization/fiji, phi gamma delta, phi gamma delta
311,324,https://now.calpoly.edu/organization/phikappapsi, phi kappa psi california eta, social fraternity -group gentleman band together base similar ideal value -fraternity create base great joy serve
312,325,https://now.calpoly.edu/organization/philosophy-club, philosophy club, come philosophy share philosophical research discus contemporary historical philosophy politics idea open major people open mind love discussion
313,326,https://now.calpoly.edu/organization/pax, pi alpha xi, promote learn love horticulture crop science plant
314,327,https://now.calpoly.edu/organization/pcecpslo, pilipino cultural exchange, pilipino cultural exchange ( pce ) pride provide `` home away home `` anyone seek need filipino join ! welcome
315,328,https://now.calpoly.edu/organization/ppga-cpslo, planned parenthood generation action, plan parenthood generation action college affiliate plan parenthood action fund strive create organization advocate reproductive justice freedom awareness come build community spread awareness !
316,329,https://now.calpoly.edu/organization/plantfuturesclub, plant futures club, plant future place student interested learn plant-centric food system develop personal professional network industry affiliate non-profit organization plant future initiative
317,330,https://now.calpoly.edu/organization/pppclubcp," plants , peaks , pals", plant peak pal dedicate help fellow student learn natural world around include topic geology botany ecology invite friend hike explore natural landscape county
318,331,https://now.calpoly.edu/organization/pokemonclub, pokémon tcg & vg club, safe welcome space learn play pokémon tcg ( trading card game ) & amp ; vg ( video game ) collect card friend ! also include in-house tournament express competitive spirit win prize !
319,332,https://now.calpoly.edu/organization/psc, political science club, political science provide student opportunity learn politics government meet faculty student
320,333,https://now.calpoly.edu/organization/pcdc, poly child development club, dedicate serve child broader community learn volunteer go beyond classroom
321,334,https://now.calpoly.edu/organization/poly-pack, poly pack, pack aim connect student packaging concentration peer professor alumnus professional offer insight career development within packaging industry
322,335,https://now.calpoly.edu/organization/calpolypups, poly pups, pup volunteer puppy raise non-profit organization guide dog blind pup help socialize train future guide dog blind visually impared
323,336,https://now.calpoly.edu/organization/polycongaming, polycon tabletop gaming, polycon tabletop game host weekly game event member play board game card game tabletop rpgs also run one game convention quarter fall winter one day event spring whole weekend
324,337,https://now.calpoly.edu/organization/polygoats, polygoats four-wheel drive club, four-wheel drive member interested off-road vehicle member also help work car
325,338,https://now.calpoly.edu/organization/pesclub, power and energy society, power energy society work build student ' knowledge electric power industry opportunity interact industrial professional industry tour information session technical talk
326,339,https://now.calpoly.edu/organization/pre-optometry, pre-optometry club, pre-optometry anyone interested learn career optometry want learn prepare optometry school
327,341,https://now.calpoly.edu/organization/projectsunshine, project sunshine, community service train student volunteer interact pediatric patient provide fun engage educational activity college chapter part large nationally internationally recognize organization
328,342,https://now.calpoly.edu/organization/pt-ot, physical therapy and occupational therapy club, 's physical therapy occupational therapy strives create social network student faculty alumnus professional
329,343,https://now.calpoly.edu/organization/cpphc, public health club, cpph promotes wellness among peer local community promotes protective health behavior connects student local public health effort share information career graduate school program
330,344,https://now.calpoly.edu/organization/cppuente, puente @ cal poly, puente @ community puente student student feel connect leadership culture community service opportunity order cross bridge success !
331,345,https://now.calpoly.edu/organization/pulse, pulse, peer understand listen support educate ( pulse ) nationally award peer health education program support health well-being student
332,346,https://now.calpoly.edu/organization/quac, quantitative analysis concentration club, form help student well understand orfalea college business ' quantitative analysis concentration seem many undergraduate student unsure program offer entail
333,347,https://now.calpoly.edu/organization/quantum-computing-club, quantum computing club, create dedicate learn innovate increase ’ involvement rapidly develop area quantum compute want help prepare student future quantum compute position high education industry
334,348,https://now.calpoly.edu/organization/rfc, real food collaborative, student group focus advocate create community around real local sustainable seasonal ethical equitably source food
335,349,https://now.calpoly.edu/organization/rfislo, regeneration field institute in san luis obispo, rfi educational immerse student organization dedicate redefine way design structure contribute environment study bamboo construction opportunity abroad hands-on experience work material
336,350,https://now.calpoly.edu/organization/rho-phi-lambda, rho phi lambda, professional recreation park leisure national honorary society aspires recognize promote & encourage student high moral character unselfish devotion study research & application knowledge
337,351,https://now.calpoly.edu/organization/roller-hockey, roller hockey, roller hockey make multiple competitive team compete wcrhl offer participation player skill level come join try inline hockey team
338,352,https://now.calpoly.edu/organization/rsa, russian speaking association, foster welcome inclusive community russian-speaking individual campus focus culture language-based activity language conversation table movie night cookout
339,354,https://now.calpoly.edu/organization/sailing, sailing team, sail team competitive sport team team competes regatta sanction inter-collegiate sail association north america
340,355,https://now.calpoly.edu/organization/sec, sales engineering club, sec serf increase student awareness interest sale engineering reward career path
341,356,https://now.calpoly.edu/organization/sgi_usa, sgi-usa buddhism, represent sgi-usa buddhist organization base mahayana scripture lotus sutra particular discus buddhism america context daily life
342,357,https://now.calpoly.edu/organization/shpe, shpe, society hispanic professional engineer ( shpe ) recruit retains graduate next generation hispanic engineer
343,358,https://now.calpoly.edu/organization/sigma-alpha, sigma alpha, professional agricultural sorority cultivate woman professional social scholarship leadership goal
344,359,https://now.calpoly.edu/organization/sigma-kappa, sigma kappa sorority epsilon omega, sigma kappa encourages atmosphere foster high ideal friendship among college woman promote educational cultural interest develop high quality character
345,360,https://now.calpoly.edu/organization/sigma-nu, sigma nu kappa pi chapter, fraternity dedicate professionalism philanthropic activity campus live motto love truth & honor make sure member uphold value everyday life
346,361,https://now.calpoly.edu/organization/aepi, sigma omega chapter of alpha epsilon pi, alpha epsilon pi jewish fraternity campus provide unique brotherhood creates safe environment jewish men look make deep relationship participate charity grow individual
347,362,https://now.calpoly.edu/organization/son, sigma omega nu, sigma omega nu latina interest sorority promotes objective academic cultura sisterhood sorority provide home away home support system help member get college
348,363,https://now.calpoly.edu/organization/sigmaphidelta, sigma phi delta, premier international fraternity engineer
349,364,https://now.calpoly.edu/organization/sigep, sigma phi epsilon california tau, sigep redefine fraternity college campus across country complement man ’ education deliver premier student experience one formative time life sigep men strengthen character build leader
350,365,https://now.calpoly.edu/organization/sigmapisigma, sigma pi sigma, chapter national physic honor society sigma pi sigma
351,366,https://now.calpoly.edu/organization/ssa, sikh student association, unite sikh/punjabi student focus uphold pillar sikhi volunteer meditation honest living also coordinate culturally religiously relevant activity
352,367,https://now.calpoly.edu/organization/slo-breakers, slo breakers, breaker promotes community base hip hop culture 's main focus provide creative inclusive inspire atmosphere people interested one five element hip hop break
353,368,https://now.calpoly.edu/organization/slocccalpolyclub, slo climate coalition cal poly club, climate coalition aim foster eco-conscious community promote environmental awareness sustainable practice empower student staff make inform choice positively impact community
354,369,https://now.calpoly.edu/organization/slohacks, slo hacks, hack organizes event year-round dedicate towards building inclusive hacker community environment empowers student necessary tool dream code build project contribute social good
355,370,https://now.calpoly.edu/organization/slo-smash, slo smash community, dedicate discussion celebration tournament super smash bros game series
356,371,https://now.calpoly.edu/organization/smileandnod, smile and nod, 's premier improv comedy team practice perform short-form improv ( theater sport ) long-form improv past perform live phillips hall first week quarter
357,372,https://now.calpoly.edu/organization/sampe, society for the advancement of material & process engineering, research development use composite material common application advisement use carbon fiber fiberglass green composite material
358,373,https://now.calpoly.edu/organization/saf, society of american foresters, student chapter society american forester work build relationship industry professional fellow student
359,374,https://now.calpoly.edu/organization/sce, society of civil engineers, sce promotes personal professional educational development social professional academic event opportunity home nationally-ranked concrete canoe steel bridge team
360,375,https://now.calpoly.edu/organization/senve, society of environmental engineers, professional organization introduces student industry professional possibility graduation
361,376,https://now.calpoly.edu/organization/sme, society of manufacturing engineers, mission connect student major manufacturing provide place unity campus
362,377,https://now.calpoly.edu/organization/sps, society of physics students of cal poly, support foster community physic majors/minors
363,378,https://now.calpoly.edu/organization/swe, society of women engineers, swe collegiate section international organization work promote gender equality engineering professional development community outreach on-campus membership activity
364,379,https://now.calpoly.edu/organization/sasa, south asian student association, serve welcome space center marginalize within south asia basis race ethnicity region caste class religion gender sexuality focus co-existence solidarity within beyond south asia
365,380,https://now.calpoly.edu/organization/clubdeespanol, spanish club, host spanish conversation hour hispanic cultural event since instagram : @ calpolyespanol
366,381,https://now.calpoly.edu/organization/sproutup, sprout up, sprout provide free youth-led environmental education program 1st & 2nd grade classroom public school throughout california new york city
367,382,https://now.calpoly.edu/organization/statclub, stat club, organization place statistic major minor enthusiast come together network learn share interest
368,383,https://now.calpoly.edu/organization/seaoc, structural engineers association of california cal poly student chapter, seaoc serf professional student interested architectural engineering/structural engineering field
369,384,https://now.calpoly.edu/organization/safe, student association for fire ecology, safe focus foster community individual major interested fire ecology provide networking opportunity acquire prepare summer position post-graduate career fire
370,386,https://now.calpoly.edu/organization/sfij, students for immigration justice, organization form due immense student interest affair related immigration activism aim provide member resource information engage community around subject : center upon outreach
371,387,https://now.calpoly.edu/organization/cpsjp, students for justice in palestine, provide safe space student background freely voice opinion feel support palestine plan strengthen awareness liberation palestinian people promote educational event
372,388,https://now.calpoly.edu/organization/studentsforlife, students for life at cal poly, pro-life promotes culture importance life campus also want place go female student happens become pregnant need resource
373,389,https://now.calpoly.edu/organization/studentswithdependents, students with dependents ( dos ), program dean student support student dependent
374,390,https://now.calpoly.edu/organization/studentsstage, students ' stage, ’ ’ theatre campus ! student ’ stage platform student theatre-lovers collaborate fun theatre door open theatre practitioner background every level
375,391,https://now.calpoly.edu/organization/sac, studio art club, inclusive house variety major welcome anyone art & design department anyone el interested expand knowledge get involve art & campus
376,392,https://now.calpoly.edu/organization/cpsustainablefashion, sustainable fashion club, use inform student benefit sustainable fashion practice celebrate creativity create space student intersect identity three main goal education artistry community
377,393,https://now.calpoly.edu/organization/soc, systems optimization club, system optimization strives develop student professionally socially engineering-related project networking opportunity
378,394,https://now.calpoly.edu/organization/taiwaneseculturalorganization, taiwanese american student association, tco ( taiwanese cultural organization ) student-run organization focus promote taiwanese culture asian american inclusion campus !
379,395,https://now.calpoly.edu/organization/take-it-slo, take it slo, take gender cappella group make student various year broad range major ! rehearse perform around campus san luis obispo recently release new single ! check instagram @ takeitslo !
380,396,https://now.calpoly.edu/organization/tbp, tau beta pi, tau beta pi national engineering honor society tau beta pi seek recognize serve excel area study well demonstrate exemplary character education profession
381,397,https://now.calpoly.edu/organization/tvsa, thai vietnamese student association, thai-vietnamese student association socio-cultural aim promote thai vietnamese culture build strong community various event activity
382,398,https://now.calpoly.edu/organization/ttk, that 's the key, 's key cappella group campus sings song within various genre music
383,399,https://now.calpoly.edu/organization/beta," the cal poly chapter , the epsilon delta of beta theta pi", fraternity campus beta theta pi mission develop men principle principled life achieve core value mutual assistance integrity trust responsibility intellectual growth
384,400,https://now.calpoly.edu/organization/calpolypad, the cal poly pre-law chapter, phi alpha delta professional co-ed pre-law fraternity aspire law student want gain knowledge professionalism brotherhood philanthropy relates law lawyer
385,401,https://now.calpoly.edu/organization/triathlon, the cal poly triathlon team, triathlon team one large sport campus appeal level athlete whether consider veteran swim-bike-runner join complete first triathlon welcome family !
386,402,https://now.calpoly.edu/organization/thecac, the creative anatomy club, creative anatomy focus intersection anatomical science human health art provide space individual celebrate physical difference engage creative educational activity event
387,403,https://now.calpoly.edu/organization/calpolygardenclub, the garden club, inclusive group diverse forward-thinking student vary experience knowledge practice sustainable regenerative agriculture student experimental farm campus
388,404,https://now.calpoly.edu/organization/theheard, the heard at cal poly, many voice one herd
389,405,https://now.calpoly.edu/organization/sla, the honor society of sigma lambda alpha, san luis obispo chapter sigma lambda alpha academic honor society landscape architecture student excel academic success completion % coursework
390,406,https://now.calpoly.edu/organization/lssa, the liberal studies student association, lssa act diverse representation student within liberal study department work closely department faculty voice student opinion build strong liberal study community
391,407,https://now.calpoly.edu/organization/majesties, the majesties, majesty dance center around aesthetic opulence black diasporic dance tradition dedicate community partner collaboration interest-based dance open foster multi-level dance experience
392,408,https://now.calpoly.edu/organization/thenightcapslo, the nightcap, nightcap 's sketch comedy ! create video live performance course term showcase one big show open entire campus
